제품이름,제품가격
임팩트 웨이 프로틴,"₩11,900"
임팩트 웨이 아이솔레이트,"₩43,900"
THE 웨이 (구: 더웨이 (THE Whey™)),"₩45,300"
임팩트 다이어트 웨이,"₩30,800"
클리어 웨이 아이솔레이트,"₩48,400"
웨이트 게이너 블렌드(구: 임팩트 웨이트 게이너),"₩34,900"
임팩트 웨이 프로틴 엘리트,"₩65,900"
익스트림 게이너 블렌드 (구: 익스트림 하드게이너),"₩51,400"
THE 웨이+,"₩65,900"
프로틴 식사대용 블렌드 (구: 저칼로리 식사대용 쉐이크 (VLCD)),"₩16,400"
임팩트 웨이 프로틴 - 호지차 라떼맛,"₩11,900"
다이어트 프로틴 블렌드 (구: 액티브 우먼 다이어트 블렌드™),"₩20,500"
임팩트 웨이 프로틴 - 밀크티 맛,"₩11,900"
가수분해 웨이 프로틴 (구:가수분해유청단백질 (WPH)),"₩36,000"
허리케인 XS 엘리트,"₩72,000"
오버나이트 리커버리 블렌드 (구: 베드타임 익스트림 (취침전 프로틴)),"₩30,800"
유기농 웨이 프로틴 (구: 오가닉 웨이 프로틴),"₩39,000"
THE 게이너 (구: 마이게이너™),"₩109,100"
토탈 프로틴 블렌드 (구: 토탈 프로틴 (올인원타입)),"₩30,900"
아이소: 프로 웨이 프로틴 (구: Iso:Pro 97),"₩52,700"
프로틴 워터,"₩57,600"
임팩트 웨이 프로틴 - 벚꽃 밀크티맛,"₩11,900"
임팩트 웨이 프로틴- 홋카이도 밀크,"₩11,900"
컴플리트 브랙퍼스트 블렌드 (구: 토탈 브렉퍼스트 (아침식사 대용 프로틴)),"₩47,300"
올인원 퍼포먼스 블렌드 (구:허리케인 XS),"₩70,000"
임팩트 다이어트 웨이 (샘플),"₩3,000"
임팩트 웨이프로틴 (시즌 한정),"₩28,900"
임팩트 네이티브 웨이 95,"₩67,900"
식사대용 블렌드 (구: 액티브 우먼 밀 리플레이스먼트™),"₩26,700"
임팩트 웨이 프로틴 - 알밤에디션,"₩11,900"
